Name DE;Name;Cardtype;Type;Tera;HP;Evolves from DE;Evolves from;Ability DE;Ability;Ability text DE;Ability text;Attack 1 cost;Attack 1 name DE;Attack 1 name;Attack 1 damage;Effect Attack 1 DE;Effect Attack 1;Attack 2 cost;Attack 2 name DE;Attack 2 name;Attack 2 damage;Effect Attack 2 DE;Effect Attack 2;Weakness;Resistance;Retreat cost;Set;#;Regulation;Set Name;URL DE;URL
Fermicula;Durant;Basic;Grass;;90;;;;;;;GC;Knirscher ;Crunch ;50;Wirf 1 Münze. Lege bei Kopf 1 Energie vom Aktiven Pokémon deines Gegners auf seinen Ablagestapel.;Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.;;;;;;;Fire;;1;JTG;14;H;Reisegefährten (JTG);https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_014_R_DE_LG.png;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_014_R_EN_LG.png
Viridium;Virizion;Basic;Grass;;120;;;;;;;GC;Blattsauger ;Leaf Drain ;30;Heile 30 Schadenspunkte bei diesem Pokémon.;Heal 30 damage from this Pokémon.;GCC;Schwertschneide ;Slicing Blade ;100;;;Fire;;1;JTG;15;H;Reisegefährten (JTG);https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_015_R_DE_LG.png;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_015_R_EN_LG.png
Felori;Sprigatito;Basic;Grass;;60;;;;;;;C;Tüchtiges Treteln ;Tons of Treading ;10×;Wirf 3 Münzen. Diese Attacke fügt 10 Schadenspunkte pro Kopf zu.;Flip 3 coins. This attack does 10 damage for each heads.;;;;;;;Fire;;1;JTG;16;I;Reisegefährten (JTG);https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_016_R_DE_LG.png;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_016_R_EN_LG.png
Micrick;Nymble;Basic;Grass;;50;;;;;;;C;Rückwärtskick ;Rear Kick ;20;;;;;;;;;Fire;;1;JTG;19;H;Reisegefährten (JTG);https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_019_R_DE_LG.png;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_019_R_EN_LG.png
Maracamba;Maractus;Basic;Grass;;110;;;Explodierende Stacheln;Exploding Needles;Wenn dieses Pokémon in der Aktiven Position ist und durch Schaden einer Attacke von Pokémon deines Gegners kampfunfähig wird, lege 6 Schadensmarken auf das Angreifende Pokémon.;If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, put 6 damage counters on the Attacking Pokémon.;C;Bedrängen ;Corner ;20;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokémon nicht zurückziehen.;During your opponent's next turn, the Defending Pokémon can't retreat.;;;;;;;Fire;;2;JTG;160;I;Reisegefährten (JTG);https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_160_R_DE_LG.png;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_160_R_EN_LG.png
Myrapla;Oddish;Basic;Grass;;50;;;;;;;GC;Ramme ;Ram ;30;;;;;;;;;Fire;;1;LOR;1;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_001_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_001_R_EN_LG.png
Paras;Paras;Basic;Grass;;70;;;;;;;GC;Absorber ;Absorb ;20;Heile 10 Schadenspunkte bei diesem Pokémon.;Heal 10 damage from this Pokémon.;;;;;;;Fire;;1;LOR;4;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_004_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_004_R_EN_LG.png
Waumpel;Wurmple;Basic;Grass;;60;;;;;;;G;Einstich ;Sting ;10;;;GGG;Kribbelkrabbelschar;Creepy-Crawly Congregation;;Durchsuche dein Deck nach beliebig vielen Waumpel, Schaloko, Papinella, Panekon und Pudox, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck.;Search your deck for any number of Wurmple, Silcoon, Beautifly, Cascoon, and Dustox, reveal them, and put them into your hand. Then, shuffle your deck.;Fire;;1;LOR;6;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_006_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_006_R_EN_LG.png
Samurzel;Seedot;Basic;Grass;;50;;;;;;;G;Absorber ;Absorb ;10;Heile 10 Schadenspunkte bei diesem Pokémon.;Heal 10 damage from this Pokémon.;;;;;;;Fire;;1;LOR;11;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_011_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_011_R_EN_LG.png
Roselia;Roselia;Basic;Grass;;70;;;;;;;G;Beruhigender Duft;Soothing Scent;;Das Aktive Pokémon deines Gegners schläft jetzt.;Your opponent's Active Pokémon is now Asleep.;;;;;;;Fire;;1;LOR;14;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_014_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_014_R_EN_LG.png
Paragoni;Phantump;Basic;Grass;;70;;;;;;;C;Haken ;Hook ;10;;;;;;;;;Fire;;2;LOR;16;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_016_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_016_R_EN_LG.png
Sensect;Blipbug;Basic;Grass;;50;;;;;;;GC;Nagen ;Gnaw ;30;;;;;;;;;Fire;;1;LOR;18;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_018_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_018_R_EN_LG.png
Hisui-Lektrobal V;Hisuian Electrode V;Basic;Grass;;210;;;;;;;0;Vor Wut platzen ;Tantrum Blast ;100×;Diese Attacke fügt für jeden Speziellen Zustand, von dem dieses Pokémon betroffen ist, 100 Schadenspunkte zu.;This attack does 100 damage for each Special Condition affecting this Pokémon.;GC;Solarschuss ;Solar Shot ;120;Lege alle Energien von diesem Pokémon auf deinen Ablagestapel.;Discard all Energy from this Pokémon.;Fire;;1;LOR;172;F;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_172_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_172_R_EN_LG.png
Maritellit V;Orbeetle V;Basic;Grass;;180;;;;;;;G;Beharken ;Strafe ;20;Du kannst dieses Pokémon gegen 1 Pokémon auf deiner Bank austauschen.;You may switch this Pokémon with 1 of your Benched Pokémon.;GC;Geheimnisvolle Welle ;Mysterious Wave ;50+;Diese Attacke fügt für jede an das Aktive Pokémon deines Gegners angelegte Energie 30 Schadenspunkte mehr zu.;This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.;Fire;;1;LOR;TG12;D;Verlorener Ursprung (LOR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_TG12_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/LOR/LOR_TG12_R_EN_LG.png
Bisasam;Bulbasaur;Basic;Grass;;70;;;;;;;GC;Egelsamen ;Leech Seed ;20;Heile 20 Schadenspunkte bei diesem Pokémon.;Heal 20 damage from this Pokémon.;;;;;;;Fire;;2;MEW;1;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_001_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_001_R_EN_LG.png
Raupy;Caterpie;Basic;Grass;;50;;;;;;;G;Laubmampfer ;Leaf Munch ;10+;Wenn das Aktive Pokémon deines Gegners ein [G]-Pokémon ist, fügt diese Attacke 30 Schadenspunkte mehr zu.;If your opponent's Active Pokémon is a [G] Pokémon, this attack does 30 more damage.;;;;;;;Fire;;1;MEW;10;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_010_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_010_R_EN_LG.png
Hornliu;Weedle;Basic;Grass;;50;;;;;;;G;Ramme ;Ram ;10;;;CC;Käferbiss ;Bug Bite ;20;;;Fire;;1;MEW;13;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_013_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_013_R_EN_LG.png
Myrapla;Oddish;Basic;Grass;;60;;;;;;;CC;Rasierblatt ;Razor Leaf ;20;;;;;;;;;Fire;;1;MEW;43;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_043_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_043_R_EN_LG.png
Paras;Paras;Basic;Grass;;70;;;;;;;G;Zertrampeln ;Stampede ;10;;;GC;Sporenbällchen ;Spore Ball ;20;Das Aktive Pokémon deines Gegners schläft jetzt.;Your opponent's Active Pokémon is now Asleep.;Fire;;2;MEW;46;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_046_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_046_R_EN_LG.png
Bluzuk;Venonat;Basic;Grass;;70;;;;;;;C;Nagen ;Gnaw ;10;;;GCC;Strahl ;Beam ;40;;;Fire;;2;MEW;48;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_048_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_048_R_EN_LG.png
Knofensa;Bellsprout;Basic;Grass;;60;;;;;;;G;Zerschneider ;Cut ;10;;;GC;Anbinden ;Bind Down ;20;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokémon nicht zurückziehen.;During your opponent's next turn, the Defending Pokémon can't retreat.;Fire;;1;MEW;69;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_069_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_069_R_EN_LG.png
Owei;Exeggcute;Basic;Grass;;60;;;;;;;CC;Ballrolle ;Ball Roll ;30×;Wirf so lange 1 Münze, bis sie Zahl zeigt. Diese Attacke fügt 30 Schadenspunkte pro Kopf zu.;Flip a coin until you get tails. This attack does 30 damage for each heads.;;;;;;;Fire;;1;MEW;102;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_102_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_102_R_EN_LG.png
Tangela;Tangela;Basic;Grass;;80;;;;;;;G;Taktvolles Knäuel ;Tactful Tangling ;10+;Wenn du Erikas Einladung während dieses Zuges aus deiner Hand gespielt hast, fügt diese Attacke 60 Schadenspunkte mehr zu.;If you played Erika's Invitation from your hand during this turn, this attack does 60 more damage.;;;;;;;Fire;;2;MEW;114;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_114_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_114_R_EN_LG.png
Sichlor;Scyther;Basic;Grass;;70;;;;;;;G;Hilfreicher Schlitzer ;Helpful Slash ;20;Lege 1 Basis-[G]-Energiekarte aus deinem Ablagestapel an 1 Pokémon auf deiner Bank an.;Attach a Basic [G] Energy card from your discard pile to 1 of your Benched Pokémon.;GCC;Schwertschneide ;Slicing Blade ;70;;;Fire;;0;MEW;123;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_123_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_123_R_EN_LG.png
Pinsir;Pinsir;Basic;Grass;;120;;;;;;;GC;Klammer ;Vise Grip ;30;;;GGC;Waghalsiger Wurf ;Reckless Throw ;90+;Wenn du mehr verbleibende Preiskarten hast als dein Gegner, fügt diese Attacke 90 Schadenspunkte mehr zu.;If you have more Prize cards remaining than your opponent, this attack does 90 more damage.;Fire;;2;MEW;127;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_127_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_127_R_EN_LG.png
Bisasam;Bulbasaur;Basic;Grass;;70;;;;;;;GC;Egelsamen ;Leech Seed ;20;Heile 20 Schadenspunkte bei diesem Pokémon.;Heal 20 damage from this Pokémon.;;;;;;;Fire;;2;MEW;166;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_166_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_166_R_EN_LG.png
Raupy;Caterpie;Basic;Grass;;50;;;;;;;G;Laubmampfer ;Leaf Munch ;10+;Wenn das Aktive Pokémon deines Gegners ein [G]-Pokémon ist, fügt diese Attacke 30 Schadenspunkte mehr zu.;If your opponent's Active Pokémon is a [G] Pokémon, this attack does 30 more damage.;;;;;;;Fire;;1;MEW;172;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_172_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_172_R_EN_LG.png
Tangela;Tangela;Basic;Grass;;80;;;;;;;G;Taktvolles Knäuel ;Tactful Tangling ;10+;Wenn du Erikas Einladung während dieses Zuges aus deiner Hand gespielt hast, fügt diese Attacke 60 Schadenspunkte mehr zu.;If you played Erika's Invitation from your hand during this turn, this attack does 60 more damage.;;;;;;;Fire;;2;MEW;178;G;Pokémon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_178_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_178_R_EN_LG.png
Myrapla;Oddish;Basic;Grass;;50;;;;;;;C;Wohl fühlen;;;Ziehe 1 Karte.;Draw a card.;G;Zertrampeln ;Stampede ;10;;;Fire;;1;OBF;1;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_001_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_001_R_EN_LG.png
Sichlor;Scyther;Basic;Grass;;80;;;;;;;C;Agilität ;Agility ;10;Wirf 1 Münze. Verhindere bei Kopf während des nächsten Zuges deines Gegners allen Schaden durch und alle Effekte von Attacken, die diesem Pokémon zugefügt werden.;Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.;CC;Zerschneider ;Cut ;20;;;Fire;;1;OBF;4;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_004_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_004_R_EN_LG.png
Pottrott;Shuckle;Basic;Grass;;80;;;;;;;C;Beerenduft;Berry Scent;;Durchsuche dein Deck nach 1 Basis-Pokémon und lege es auf deine Bank. Mische anschließend dein Deck.;Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.;CC;Schutzdruck ;Guard Press ;30;Während des nächsten Zuges deines Gegners werden diesem Pokémon durch Attacken 30 Schadenspunkte weniger zugefügt (nachdem Schwäche und Resistenz verrechnet wurden).;During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).;Fire;;1;OBF;5;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_005_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_005_R_EN_LG.png
Gehweiher;Surskit;Basic;Grass;;60;;;;;;;C;Anfallen ;Lunge ;20;Wirf 1 Münze. Bei Zahl hat diese Attacke keine Auswirkungen.;Flip a coin. If tails, this attack does nothing.;;;;;;;Fire;;1;OBF;6;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_006_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_006_R_EN_LG.png
Wadribie;Combee;Basic;Grass;;50;;;;;;;G;Verteiler;Share;;Heile 20 Schadenspunkte bei 1 Pokémon auf deiner Bank.;Heal 20 damage from 1 of your Benched Pokémon.;GG;Ramme ;Ram ;20;;;Fire;;1;OBF;8;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_008_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_008_R_EN_LG.png
Tarnpignon;Foongus;Basic;Grass;;50;;;;;;;G;Lockmuster;Enticing Pattern;;Durchsuche dein Deck nach 1 Basis-[G]-Pokémon und lege es auf deine Bank. Mische anschließend dein Deck.;Search your deck for a Basic [G] Pokémon and put it onto your Bench. Then, shuffle your deck.;GC;Verprügler ;Beat ;20;;;Fire;;1;OBF;9;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_009_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_009_R_EN_LG.png
Paragoni;Phantump;Basic;Grass;;60;;;;;;;CC;Zweigstoß ;Branch Poke ;20;;;;;;;;;Fire;;1;OBF;11;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_011_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_011_R_EN_LG.png
Bauz;Rowlet;Basic;Grass;;70;;;;;;;G;Rasierflügel ;Razor Wing ;20;;;;;;;;;Fire;;1;OBF;13;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_013_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_013_R_EN_LG.png
Frubberl;Bounsweet;Basic;Grass;;60;;;;;;;G;Zertrampeln ;Stampede ;10;;;GG;Waghalsiger Sturmangriff ;Reckless Charge ;30;Dieses Pokémon fügt auch sich selbst 10 Schadenspunkte zu.;This Pokémon also does 10 damage to itself.;Fire;;1;OBF;16;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_016_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_016_R_EN_LG.png
Olini;Smoliv;Basic;Grass;;50;;;;;;;G;Absorber ;Absorb ;10;Heile 10 Schadenspunkte bei diesem Pokémon.;Heal 10 damage from this Pokémon.;;;;;;;Fire;;1;OBF;19;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_019_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_019_R_EN_LG.png
Chilingel;Capsakid;Basic;Grass;;50;;;;;;;C;Waghalsiger Sturmangriff ;Reckless Charge ;30;Dieses Pokémon fügt auch sich selbst 10 Schadenspunkte zu.;This Pokémon also does 10 damage to itself.;;;;;;;Fire;;1;OBF;23;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_023_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_023_R_EN_LG.png
Chilingel;Capsakid;Basic;Grass;;70;;;;;;;CCC;Doppelte Kopfnuss ;Double Headbutt ;50×;Wirf 2 Münzen. Diese Attacke fügt 50 Schadenspunkte pro Kopf zu.;Flip 2 coins. This attack does 50 damage for each heads.;;;;;;;Fire;;2;OBF;24;G;Obsidianflammen (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_024_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_024_R_EN_LG.png
Tannza;Pineco;Basic;Grass;;70;;;;;;;GG;Walzer ;Rollout ;30;;;;;;;;;Fire;;2;PAF;1;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_001_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_001_R_EN_LG.png
Maracamba;Maractus;Basic;Grass;;110;;;;;;;C;Zweifachzug;Double Draw;;Ziehe 2 Karten.;Draw 2 cards.;CCC;Nadelrakete ;Pin Missile ;30×;Wirf 4 Münzen. Diese Attacke fügt 30 Schadenspunkte pro Kopf zu.;Flip 4 coins. This attack does 30 damage for each heads.;Fire;;2;PAF;3;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_003_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_003_R_EN_LG.png
Tentagra;Toedscool;Basic;Grass;;50;;;;;;;G;Zorntritte ;Furious Kicks ;10×;Wirf 3 Münzen. Diese Attacke fügt 10 Schadenspunkte pro Kopf zu.;Flip 3 coins. This attack does 10 damage for each heads.;;;;;;;Fire;;1;PAF;4;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_004_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_004_R_EN_LG.png
Myrapla;Oddish;Basic;Grass;;60;;;;;;;CC;Rasierblatt ;Razor Leaf ;20;;;;;;;;;Fire;;1;PAF;92;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_092_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_092_R_EN_LG.png
Sichlor;Scyther;Basic;Grass;;80;;;;;;;C;Agilität ;Agility ;10;Wirf 1 Münze. Verhindere bei Kopf während des nächsten Zuges deines Gegners allen Schaden durch und alle Effekte von Attacken, die diesem Pokémon zugefügt werden.;Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.;CC;Zerschneider ;Cut ;20;;;Fire;;1;PAF;95;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_095_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_095_R_EN_LG.png
Hoppspross;Hoppip;Basic;Grass;;50;;;;;;;G;Ausweichplatscher ;Splashing Dodge ;10;Wirf 1 Münze. Verhindere bei Kopf während des nächsten Zuges deines Gegners allen Schaden durch und alle Effekte von Attacken, die diesem Pokémon zugefügt werden.;Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.;;;;;;;Fire;;1;PAF;96;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_096_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_096_R_EN_LG.png
Tannza;Pineco;Basic;Grass;;70;;;;;;;GG;Walzer ;Rollout ;30;;;;;;;;;Fire;;2;PAF;99;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_099_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_099_R_EN_LG.png
Shnebedeck;Snover;Basic;Grass;;90;;;;;;;GC;Korkenzieherhieb ;Corkscrew Punch ;30;;;;;;;;;Fire;;3;PAF;100;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_100_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_100_R_EN_LG.png
Olini;Smoliv;Basic;Grass;;60;;;;;;;G;Nährstoffe;Nutrients;;Heile 30 Schadenspunkte bei 1 deiner Pokémon.;Heal 30 damage from 1 of your Pokémon.;GC;Sprühwasser ;Spray Fluid ;20;;;Fire;;1;PAF;102;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_102_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_102_R_EN_LG.png
Tentagra;Toedscool;Basic;Grass;;50;;;;;;;G;Zorntritte ;Furious Kicks ;10×;Wirf 3 Münzen. Diese Attacke fügt 10 Schadenspunkte pro Kopf zu.;Flip 3 coins. This attack does 10 damage for each heads.;;;;;;;Fire;;1;PAF;105;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_105_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_105_R_EN_LG.png
Chilingel;Capsakid;Basic;Grass;;70;;;;;;;C;Nachwürzen;Increasing Spice;;Durchsuche dein Deck nach 1 Basis-[R]-Energiekarte und lege sie an dieses Pokémon an. Mische anschließend dein Deck.;Search your deck for a Basic [R] Energy card and attach it to this Pokémon. Then, shuffle your deck.;GCC;Verspielter Kick ;Playful Kick ;50;;;Fire;;1;PAF;106;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_106_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_106_R_EN_LG.png
Relluk;Rellor;Basic;Grass;;50;;;;;;;CC;Ballrolle ;Ball Roll ;30×;Wirf so lange 1 Münze, bis sie Zahl zeigt. Diese Attacke fügt 30 Schadenspunkte pro Kopf zu.;Flip a coin until you get tails. This attack does 30 damage for each heads.;;;;;;;Fire;;1;PAF;108;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_108_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_108_R_EN_LG.png
Chongjian-ex;Wo-Chien ex;Basic;Grass;;230;;;;;;;GGC;Gieriger Efeu;Covetous Ivy;;Diese Attacke fügt 1 Pokémon auf der Bank deines Gegners 60 Schadenspunkte für jede von deinem Gegner genommene Preiskarte zu. (Wende Schwäche und Resistenz bei Pokémon auf der Bank nicht an.);This attack does 60 damage to 1 of your opponent's Benched Pokémon for each Prize card your opponent has taken. (Don’t apply Weakness and Resistance for Benched Pokémon.);GGGC;Waldexplosion ;Forest Blast ;220;;;Fire;;4;PAF;240;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_240_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_240_R_EN_LG.png
