Name DE;Name;Cardtype;Type;HP;Evolves from;Ability;Ability text;Attack 1 cost;Attack 1 name;Attack 1 name EN;Attack 1 damage;Effect 1;Attack 2 cost;Attack 2 name;Attack 2 name EN;Attack 2 damage;Effect 2;Weakness;Resistance;Retreat cost;Set;#;Regulation;Set Name;URL
Tauschbecher;Switching Cups;Trainer - Item;;;;;Tausche 1 Karte aus deiner Hand gegen die oberste Karte deines Decks aus.;;;;;;;;;;;;;;EVS;162;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_162_R_DE_LG.png
Spielzeugfänger;Toy Catcher;Trainer - Item;;;;;Tausche 1 Pokemon auf der Bank deines Gegners, das 50 oder weniger verbleibende KP hat, gegen das Aktive Pokemon deines Gegners aus.;;;;;;;;;;;;;;EVS;163;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_163_R_DE_LG.png
Amalias Entschluss;Zinnia's Resolve;Trainer - Unterstützer;;;;;Du kannst diese Karte nur spielen, wenn du 2 andere Karten aus deiner Hand auf deinen Ablagestapel legst.Ziehe 1 Karte für jedes Pokemon deines Gegners im Spiel.;;;;;;;;;;;;;;EVS;164;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_164_R_DE_LG.png
Schatz-Energie;Treasure Energy;Energie - Spezial-Energie;;;;;;;;;;;;;;;;;;;EVS;165;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_165_R_DE_LG.png
Folipurba V;Leafeon V;Basis;Pflanze;200;;Grünende Zellen;Einmal während deines Zuges kannst du dein Deck nach 1 [G]-Energiekarte durchsuchen und sie an 1 deiner Pokemon anlegen. Mische anschließend dein Deck. Wenn du diese Fähigkeit einsetzt, endet dein Zug.;GCC;Laubklinge ;Leaf Blade;90+;Wirf 1 Münze. Bei Kopf fügt diese Attacke 60 Schadenspunkte mehr zu.;;;;;;Feuer;;1;EVS;166;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_166_R_DE_LG.png
Folipurba V;Leafeon V;Basis;Pflanze;200;;Grünende Zellen;Einmal während deines Zuges kannst du dein Deck nach 1 [G]-Energiekarte durchsuchen und sie an 1 deiner Pokemon anlegen. Mische anschließend dein Deck. Wenn du diese Fähigkeit einsetzt, endet dein Zug.;GCC;Laubklinge ;Leaf Blade;90+;Wirf 1 Münze. Bei Kopf fügt diese Attacke 60 Schadenspunkte mehr zu.;;;;;;Feuer;;1;EVS;167;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_167_R_DE_LG.png
Trombork V;Trevenant V;Basis;Pflanze;210;;;;GC;Lebensverkoster ;Absorb Life;30;Heile 30 Schadenspunkte bei diesem Pokemon.;GGC;Dunkelklaue ;Shadow Claw;120;Lege 1 zufällige Karte aus der Hand deines Gegners auf seinen Ablagestapel.;Feuer;;2;EVS;168;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_168_R_DE_LG.png
Flamara V;Flareon V;Basis;Feuer;210;;;;C;Flammender Atem ;Flaming Breath;20;Durchsuche dein Deck nach 1 [R]-Energiekarte und lege sie an dieses Pokemon an. Mische anschließend dein Deck.;RRC;Versengende Säule ;Scorching Column;120;Das Aktive Pokemon deines Gegners ist jetzt verbrannt.;Wasser;;2;EVS;169;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_169_R_DE_LG.png
Ramoth V;Volcarona V;Basis;Feuer;210;;;;R;Flammenschwall ;Surging Flames;20+;Diese Attacke fügt für jede Basis-Energiekarte in deinem Ablagestapel 20 Schadenspunkte mehr zu. Mische jene Energiekarten anschließend in dein Deck.;RRC;Feuersturm ;Fire Blast;160;Lege 1 Energie von diesem Pokemon auf deinen Ablagestapel.;Wasser;;2;EVS;170;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_170_R_DE_LG.png
Garados V;Gyarados V;Basis;Wasser;220;;;;WWC;Rotsehen ;Get Angry;20*;Diese Attacke fügt für jede Schadensmarke auf diesem Pokemon 20 Schadenspunkte zu.;WWWC;Schwerer Sturm ;Heavy Storm;180;;Elektro;;3;EVS;171;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_171_R_DE_LG.png
Aquana V;Vaporeon V;Basis;Wasser;210;;;;C;Dreifachzug;Triple Draw;;Ziehe 3 Karten.;WWC;Platschersprung ;Splash Jump;90;Tausche dieses Pokemon gegen 1 Pokemon auf deiner Bank aus.;Elektro;;2;EVS;172;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_172_R_DE_LG.png
Suicune V;Suicune V;Basis;Wasser;210;;Leichtfüßig;Einmal während deines Zuges, wenn dieses Pokemon in der Aktiven Position ist, kannst du 1 Karte ziehen.;WC;Blizzardrondo ;Blizzard Rondo;20+;Diese Attacke fügt für jedes Pokemon auf der Bank (deiner und der deines Gegners) 20 Schadenspunkte mehr zu.;;;;;;Elektro;;2;EVS;173;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_173_R_DE_LG.png
Glaziola V;Glaceon V;Basis;Wasser;210;;;;W;Eisiges Erwachen;Frozen Awakening;;Durchsuche dein Deck nach 1 Karte, die sich aus diesem Pokemon entwickelt, und lege sie auf dieses Pokemon, um es zu entwickeln. Mische anschließend dein Deck.;WCC;Einschneien ;Heavy Snow;120;Lege 1 Stadionkarte im Spiel auf den Ablagestapel.;Metall;;2;EVS;174;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_174_R_DE_LG.png
Glaziola V;Glaceon V;Basis;Wasser;210;;;;W;Eisiges Erwachen;Frozen Awakening;;Durchsuche dein Deck nach 1 Karte, die sich aus diesem Pokemon entwickelt, und lege sie auf dieses Pokemon, um es zu entwickeln. Mische anschließend dein Deck.;WCC;Einschneien ;Heavy Snow;120;Lege 1 Stadionkarte im Spiel auf den Ablagestapel.;Metall;;2;EVS;175;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_175_R_DE_LG.png
Pescryodon V;Arctovish V;Basis;Wasser;220;;;;WCC;Uralte Eisstarre ;Ancient Freeze;80;Wenn das Verteidigende Pokemon ein Pokemon-V oder Pokemon-GX ist, kann es während des nächsten Zuges deines Gegners nicht angreifen.;WWCC;Gigastoß ;Giga Impact;220;Während deines nächsten Zuges kann dieses Pokemon nicht angreifen.;Elektro;;2;EVS;176;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_176_R_DE_LG.png
Blitza V;Jolteon V;Basis;Elektro;190;;;;C;Donnerspeer;Thunder Spear;;Diese Attacke fügt 1 Pokemon deines Gegners 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);LCC;Nadelrakete ;Pin Missile;60*;Wirf 4 Münzen. Diese Attacke fügt 60 Schadenspunkte pro Kopf zu.;Kampf;;0;EVS;177;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_177_R_DE_LG.png
Lectragon V;Dracozolt V;Basis;Elektro;220;;;;L;Urschnabel ;Primeval Beak;30;Während des nächsten Zuges deines Gegners können keine Energiekarten aus der Hand deines Gegners an das Verteidigende Pokemon angelegt werden.;LLC;Bergschwinger ;Mountain Swing;180;Lege die obersten 3 Karten deines Decks auf deinen Ablagestapel.;Kampf;;3;EVS;178;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_178_R_DE_LG.png
Psiana V;Espeon V;Basis;Psycho;200;;;;P;Zen-Schuss;Zen Shot;;Diese Attacke fügt 1 Pokemon-V deines Gegners 60 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);PCC;Super-Psischlag ;Super Psy Bolt;120;;Finsternis;Kampf;1;EVS;179;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_179_R_DE_LG.png
Psiana V;Espeon V;Basis;Psycho;200;;;;P;Zen-Schuss;Zen Shot;;Diese Attacke fügt 1 Pokemon-V deines Gegners 60 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);PCC;Super-Psischlag ;Super Psy Bolt;120;;Finsternis;Kampf;1;EVS;180;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_180_R_DE_LG.png
Golgantes V;Golurk V;Basis;Psycho;220;;;;PCC;Megahieb ;Mega Punch;80;;PPCC;Rückspulstrahl ;Rewind Beam;180;Wenn das Aktive Pokemon deines Gegners ein entwickeltes Pokemon ist, rückentwickle es, indem du deinem Gegner die Karte mit der höchsten Entwicklungsstufe auf die Hand gibst.;Finsternis;Kampf;3;EVS;181;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_181_R_DE_LG.png
Golgantes V;Golurk V;Basis;Psycho;220;;;;PCC;Megahieb ;Mega Punch;80;;PPCC;Rückspulstrahl ;Rewind Beam;180;Wenn das Aktive Pokemon deines Gegners ein entwickeltes Pokemon ist, rückentwickle es, indem du deinem Gegner die Karte mit der höchsten Entwicklungsstufe auf die Hand gibst.;Finsternis;Kampf;3;EVS;182;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_182_R_DE_LG.png
Feelinara V;Sylveon V;Basis;Psycho;200;;Traumgeschenk;Einmal während deines Zuges kannst du dein Deck nach 1 Itemkarte durchsuchen, sie deinem Gegner zeigen und auf deine Hand nehmen. Mische anschließend dein Deck. Wenn du diese Fähigkeit einsetzt, endet dein Zug.;CC;Magischer Schuss ;Magical Shot;60;;;;;;;Metall;;1;EVS;183;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_183_R_DE_LG.png
Feelinara V;Sylveon V;Basis;Psycho;200;;Traumgeschenk;Einmal während deines Zuges kannst du dein Deck nach 1 Itemkarte durchsuchen, sie deinem Gegner zeigen und auf deine Hand nehmen. Mische anschließend dein Deck. Wenn du diese Fähigkeit einsetzt, endet dein Zug.;CC;Magischer Schuss ;Magical Shot;60;;;;;;;Metall;;1;EVS;184;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_184_R_DE_LG.png
Meditalis V;Medicham V;Basis;Kampf;210;;;;CC;Yogaschleife;Yoga Loop;;Lege 2 Schadensmarken auf 1 Pokemon deines Gegners. Wenn ein Pokemon deines Gegners durch diese Attacke kampfunfähig wird, bist du nach diesem Zug erneut am Zug. (Überspringe den Pokemon-Check.) Wenn 1 deiner Pokemon während deines letzten Zuges Yogaschleife eingesetzt hat, kann diese Attacke nicht eingesetzt werden.;FCC;Geballter Kinnhaken ;Smash Uppercut;100;Der Schaden dieser Attacke wird durch Resistenz nicht verändert.;Psycho;;2;EVS;185;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_185_R_DE_LG.png
Meditalis V;Medicham V;Basis;Kampf;210;;;;CC;Yogaschleife;Yoga Loop;;Lege 2 Schadensmarken auf 1 Pokemon deines Gegners. Wenn ein Pokemon deines Gegners durch diese Attacke kampfunfähig wird, bist du nach diesem Zug erneut am Zug. (Überspringe den Pokemon-Check.) Wenn 1 deiner Pokemon während deines letzten Zuges Yogaschleife eingesetzt hat, kann diese Attacke nicht eingesetzt werden.;FCC;Geballter Kinnhaken ;Smash Uppercut;100;Der Schaden dieser Attacke wird durch Resistenz nicht verändert.;Psycho;;2;EVS;186;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_186_R_DE_LG.png
Wolwerock V;Lycanroc V;Basis;Kampf;200;;;;F;Steinwurf ;Rock Throw;40;;FFC;Reißende Zähne ;Crashing Fangs;200;Während deines nächsten Zuges kann dieses Pokemon nicht angreifen.;Pflanze;;1;EVS;187;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_187_R_DE_LG.png
Nachtara V;Umbreon V;Basis;Finsternis;200;;;;D;Horrorblick ;Mean Look;30;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokemon nicht zurückziehen.;DCC;Mondscheinklinge ;Moonlight Blade;80+;Wenn auf diesem Pokemon mindestens 1 Schadensmarke liegt, fügt diese Attacke 80 Schadenspunkte mehr zu.;Pflanze;;2;EVS;188;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_188_R_DE_LG.png
Nachtara V;Umbreon V;Basis;Finsternis;200;;;;D;Horrorblick ;Mean Look;30;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokemon nicht zurückziehen.;DCC;Mondscheinklinge ;Moonlight Blade;80+;Wenn auf diesem Pokemon mindestens 1 Schadensmarke liegt, fügt diese Attacke 80 Schadenspunkte mehr zu.;Pflanze;;2;EVS;189;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_189_R_DE_LG.png
Deponitox V;Garbodor V;Basis;Finsternis;210;;;;DC;Müllmief ;Trash Stench;40;Das Aktive Pokemon deines Gegners ist jetzt vergiftet. Während des nächsten Zuges deines Gegners kann sich jenes Pokemon nicht zurückziehen.;DDC;Matschbombe ;Sludge Bomb;130;;Kampf;;3;EVS;190;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_190_R_DE_LG.png
Dragoran V;Dragonite V;Basis;Drache;230;;;;CC;Zerfetzer ;Shred;50;Der Schaden dieser Attacke wird durch Effekte auf dem Aktiven Pokemon deines Gegners nicht verändert.;WWL;Drachensturm ;Dragon Gale;250;Diese Attacke fügt auch jedem Pokemon auf deiner Bank 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);;;3;EVS;191;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_191_R_DE_LG.png
Dragoran V;Dragonite V;Basis;Drache;230;;;;CC;Zerfetzer ;Shred;50;Der Schaden dieser Attacke wird durch Effekte auf dem Aktiven Pokemon deines Gegners nicht verändert.;WWL;Drachensturm ;Dragon Gale;250;Diese Attacke fügt auch jedem Pokemon auf deiner Bank 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);;;3;EVS;192;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_192_R_DE_LG.png
Rayquaza V;Rayquaza V;Basis;Drache;210;;;;L;Drachenpuls ;Dragon Pulse;40;Lege die obersten 2 Karten deines Decks auf deinen Ablagestapel.;RL;Spiral-Detonation ;Spiral Burst;20+;Du kannst bis zu 2 Basis-[R]-Energien oder bis zu 2 Basis-[L]-Energien von diesem Pokemon auf deinen Ablagestapel legen. Diese Attacke fügt für jede auf diese Weise abgelegte Karte 80 Schadenspunkte mehr zu.;;;2;EVS;193;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_193_R_DE_LG.png
Rayquaza V;Rayquaza V;Basis;Drache;210;;;;L;Drachenpuls ;Dragon Pulse;40;Lege die obersten 2 Karten deines Decks auf deinen Ablagestapel.;RL;Spiral-Detonation ;Spiral Burst;20+;Du kannst bis zu 2 Basis-[R]-Energien oder bis zu 2 Basis-[L]-Energien von diesem Pokemon auf deinen Ablagestapel legen. Diese Attacke fügt für jede auf diese Weise abgelegte Karte 80 Schadenspunkte mehr zu.;;;2;EVS;194;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_194_R_DE_LG.png
UHaFnir V;Noivern V;Basis;Drache;200;;;;P;Überschallknall;Boomburst;;Diese Attacke fügt jedem Pokemon deines Gegners 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);PD;Synchrokrach ;Synchro Loud;60+;Wenn du genauso viele Karten auf der Hand hast wie dein Gegner, fügt diese Attacke 120 Schadenspunkte mehr zu.;;;0;EVS;195;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_195_R_DE_LG.png
UHaFnir V;Noivern V;Basis;Drache;200;;;;P;Überschallknall;Boomburst;;Diese Attacke fügt jedem Pokemon deines Gegners 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);PD;Synchrokrach ;Synchro Loud;60+;Wenn du genauso viele Karten auf der Hand hast wie dein Gegner, fügt diese Attacke 120 Schadenspunkte mehr zu.;;;0;EVS;196;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_196_R_DE_LG.png
Duraludon V;Duraludon V;Basis;Drache;220;;;;FM;Metallklaue ;Metal Claw;70;;FMM;Breitseite ;Breaking Swipe;140;Während des nächsten Zuges deines Gegners fügen die Attacken des Verteidigenden Pokemon 30 Schadenspunkte weniger zu (bevor Schwäche und Resistenz verrechnet werden).;;;2;EVS;197;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_197_R_DE_LG.png
Duraludon V;Duraludon V;Basis;Drache;220;;;;FM;Metallklaue ;Metal Claw;70;;FMM;Breitseite ;Breaking Swipe;140;Während des nächsten Zuges deines Gegners fügen die Attacken des Verteidigenden Pokemon 30 Schadenspunkte weniger zu (bevor Schwäche und Resistenz verrechnet werden).;;;2;EVS;198;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_198_R_DE_LG.png
Aromalady;Aroma Lady;Trainer - Unterstützer;;;;;Ziehe 2 Karten. Wenn du das machst, erholt sich dein Aktives Pokemon von allen Speziellen Zuständen.;;;;;;;;;;;;;;EVS;199;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_199_R_DE_LG.png
Nachahmerin;Copycat;Trainer - Unterstützer;;;;;Mische deine Handkarten in dein Deck. Ziehe anschließend 1 Karte für jede Karte auf der Hand deines Gegners.;;;;;;;;;;;;;;EVS;200;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_200_R_DE_LG.png
Mac;Gordie;Trainer - Unterstützer;;;;;Schau dir die obersten 7 Karten deines Decks an. Du kannst beliebig viele Energiekarten, die du dort findest, deinem Gegner zeigen und auf deine Hand nehmen. Mische die anderen Karten zurück in dein Deck.;;;;;;;;;;;;;;EVS;201;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_201_R_DE_LG.png
Roy;Raihan;Trainer - Unterstützer;;;;;Du kannst diese Karte nur spielen, wenn mindestens 1 deiner Pokemon während des letzten Zuges deines Gegners kampfunfähig wurde.Lege 1 Basis-Energiekarte aus deinem Ablagestapel an 1 deiner Pokemon an. Wenn du das machst, durchsuche dein Deck nach 1 Karte und nimm sie auf deine Hand. Mische anschließend dein Deck.;;;;;;;;;;;;;;EVS;202;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_202_R_DE_LG.png
Amalias Entschluss;Zinnia's Resolve;Trainer - Unterstützer;;;;;Du kannst diese Karte nur spielen, wenn du 2 andere Karten aus deiner Hand auf deinen Ablagestapel legst.Ziehe 1 Karte für jedes Pokemon deines Gegners im Spiel.;;;;;;;;;;;;;;EVS;203;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_203_R_DE_LG.png
Folipurba VMAX;Leafeon VMAX;VMAX - Entwickelt sich aus Folipurba V;Pflanze;310;;;;GC;Strauchler ;Grass Knot;60*;Diese Attacke fügt für jedes [C] in den Rückzugskosten des Aktiven Pokemon deines Gegners 60 Schadenspunkte zu.;GGC;Dyna-Blatt ;Max Leaf;170;Heile 30 Schadenspunkte bei diesem Pokemon.;Feuer;;2;EVS;204;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_204_R_DE_LG.png
Folipurba VMAX;Leafeon VMAX;VMAX - Entwickelt sich aus Folipurba V;Pflanze;310;;;;GC;Strauchler ;Grass Knot;60*;Diese Attacke fügt für jedes [C] in den Rückzugskosten des Aktiven Pokemon deines Gegners 60 Schadenspunkte zu.;GGC;Dyna-Blatt ;Max Leaf;170;Heile 30 Schadenspunkte bei diesem Pokemon.;Feuer;;2;EVS;205;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_205_R_DE_LG.png
Trombork VMAX;Trevenant VMAX;VMAX - Entwickelt sich aus Trombork V;Pflanze;320;;;;GC;Verschollen im Wald ;Missing in the Forest;40*;Diese Attacke fügt für jede Unterstützerkarte im Ablagestapel deines Gegners 40 Schadenspunkte zu.;GGC;Dyna-Baum ;Max Tree;180;;Feuer;;3;EVS;206;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_206_R_DE_LG.png
Garados VMAX;Gyarados VMAX;VMAX - Entwickelt sich aus Garados V;Wasser;330;;;;WWC;Hyperstrahl ;Hyper Beam;120;Lege 1 Energie vom Aktiven Pokemon deines Gegners auf seinen Ablagestapel.;WWWC;Dyna-Tyrann ;Max Tyrant;240;;Elektro;;4;EVS;207;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_207_R_DE_LG.png
Glaziola VMAX;Glaceon VMAX;VMAX - Entwickelt sich aus Glaziola V;Wasser;310;;Kristallhülle;Verhindere allen Schaden, der diesem Pokemon durch Attacken von Pokemon-VMAX deines Gegners, außer Glaziola-VMAX, zugefügt wird.;WCC;Dyna-Eiszapfen ;Max Icicle;150;Diese Attacke fügt auch 1 Pokemon auf der Bank deines Gegners 30 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);;;;;;Metall;;2;EVS;208;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_208_R_DE_LG.png
Glaziola VMAX;Glaceon VMAX;VMAX - Entwickelt sich aus Glaziola V;Wasser;310;;Kristallhülle;Verhindere allen Schaden, der diesem Pokemon durch Attacken von Pokemon-VMAX deines Gegners, außer Glaziola-VMAX, zugefügt wird.;WCC;Dyna-Eiszapfen ;Max Icicle;150;Diese Attacke fügt auch 1 Pokemon auf der Bank deines Gegners 30 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);;;;;;Metall;;2;EVS;209;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_209_R_DE_LG.png
Lectragon VMAX;Dracozolt VMAX;VMAX - Entwickelt sich aus Lectragon V;Elektro;330;;;;L;Funkenfalle ;Spark Trap;60;Wenn diesem Pokemon während des nächsten Zuges deines Gegners durch eine Attacke Schaden zugefügt wird (auch wenn dieses Pokemon dadurch kampfunfähig wird), lege 12 Schadensmarken auf das Angreifende Pokemon.;LCCC;Dyna-Einschlag ;Max Impact;200;;Kampf;;3;EVS;210;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_210_R_DE_LG.png
Feelinara VMAX;Sylveon VMAX;VMAX - Entwickelt sich aus Feelinara V;Psycho;310;;;;P;Edle Berührung;Precious Touch;;Lege 1 Energiekarte aus deiner Hand an 1 Pokemon auf deiner Bank an. Wenn du das machst, heile 120 Schadenspunkte bei jenem Pokemon.;CCC;Dyna-Harmonie ;Max Harmony;70+;Diese Attacke fügt für jeden verschiedenen Pokemon-Typ auf deiner Bank 30 Schadenspunkte mehr zu.;Metall;;2;EVS;211;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_211_R_DE_LG.png
Feelinara VMAX;Sylveon VMAX;VMAX - Entwickelt sich aus Feelinara V;Psycho;310;;;;P;Edle Berührung;Precious Touch;;Lege 1 Energiekarte aus deiner Hand an 1 Pokemon auf deiner Bank an. Wenn du das machst, heile 120 Schadenspunkte bei jenem Pokemon.;CCC;Dyna-Harmonie ;Max Harmony;70+;Diese Attacke fügt für jeden verschiedenen Pokemon-Typ auf deiner Bank 30 Schadenspunkte mehr zu.;Metall;;2;EVS;212;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_212_R_DE_LG.png
Wolwerock VMAX;Lycanroc VMAX;VMAX - Entwickelt sich aus Wolwerock V;Kampf;320;;;;F;Jagdklauen;Hunting Claw;;Mache 1 Pokemon deines Gegners im Spiel, das 60 oder weniger verbleibende KP hat, kampfunfähig.;FFC;Dyna-Kante ;Max Edge;190;Diese Attacke fügt auch 1 Pokemon auf der Bank deines Gegners 30 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);Pflanze;;1;EVS;213;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_213_R_DE_LG.png
Nachtara VMAX;Umbreon VMAX;VMAX - Entwickelt sich aus Nachtara V;Finsternis;310;;Dunkles Signal;Wenn du dieses Pokemon aus deiner Hand spielst, um 1 deiner Pokemon während deines Zuges zu entwickeln, kannst du 1 Pokemon auf der Bank deines Gegners gegen sein Aktives Pokemon austauschen.;DCC;Dyna-Dunkel ;Max Darkness;160;;;;;;;Pflanze;;2;EVS;214;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_214_R_DE_LG.png
Nachtara VMAX;Umbreon VMAX;VMAX - Entwickelt sich aus Nachtara V;Finsternis;310;;Dunkles Signal;Wenn du dieses Pokemon aus deiner Hand spielst, um 1 deiner Pokemon während deines Zuges zu entwickeln, kannst du 1 Pokemon auf der Bank deines Gegners gegen sein Aktives Pokemon austauschen.;DCC;Dyna-Dunkel ;Max Darkness;160;;;;;;;Pflanze;;2;EVS;215;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_215_R_DE_LG.png
Deponitox VMAX;Garbodor VMAX;VMAX - Entwickelt sich aus Deponitox V;Finsternis;330;;Abfallsammler;An dieses Pokemon können bis zu 2 Pokemon-Ausrüstungen angelegt sein. Wenn es diese Fähigkeit verliert, lege von ihm so lange Pokemon-Ausrüstungen auf deinen Ablagestapel, bis nur 1 übrig ist.;DC;Giga-Gestank ;G-Max Malodor;120;Das Aktive Pokemon deines Gegners ist jetzt vergiftet. Während des nächsten Zuges deines Gegners kann sich jenes Pokemon nicht zurückziehen.;;;;;;Kampf;;3;EVS;216;E;Drachenwandel (EVS);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/EVS/EVS_216_R_DE_LG.png
