Name;Cardtype;Type;HP;Evolves from;Ability;Ability text;Attack 1 cost;Attack 1 name;Attack 1 damage;Effect 1;Attack 2 cost;Attack 2 name;Attack 2 damage;Effect 2;Weakness;Resistance;Retreat cost;Set;#;Regulation;Set Name;URL
Pupitar;Stage 1;Fighting;80;Larvitar;;;F;Rock Throw ;20;;FF;Blasting Tackle ;60;This attack also does 20 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.);Grass;;1;OBF;106;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_106_R_EN_LG.png
Nosepass;Basic;Fighting;90;;;;C;Iron Collecting;;Put up to 2 Basic [M] Energy cards from your discard pile into your hand.;CC;Rolling Tackle ;30;;Grass;;3;OBF;107;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_107_R_EN_LG.png
Barboach;Basic;Fighting;70;;;;F;Hide;;Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.;FC;Mud-Slap ;20;;Grass;;2;OBF;108;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_108_R_EN_LG.png
Whiscash;Stage 1;Fighting;140;Barboach;;;F;Raging and Rocking;;For each [F] Energy attached to this Pokémon, discard the top card of your opponent's deck.;FFCC;Land Crush ;140;;Grass;;3;OBF;109;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_109_R_EN_LG.png
Bonsly;Basic;Fighting;30;;;;0;Blubbering ;10;Your opponent's Active Pokémon is now Confused.;;;;;Grass;;0;OBF;110;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_110_R_EN_LG.png
Drilbur;Basic;Fighting;70;;;;C;Rising Lunge ;10+;Flip a coin. If heads, this attack does 10 more damage.;;;;;Grass;;2;OBF;111;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_111_R_EN_LG.png
Stunfisk;Basic;Fighting;120;;Custom Trap;If this Pokémon is in the Active Spot, has a Pokémon Tool attached, and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 5 damage counters on the Attacking Pokémon.;F;Rumble ;30;During your opponent's next turn, the Defending Pokémon can't retreat.;;;;;Grass;;3;OBF;112;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_112_R_EN_LG.png
Diggersby;Stage 1;Fighting;140;Bunnelby;;;CC;Mud-Slap ;50;;FFC;Knocking Hammer ;120;Discard the top card of your opponent's deck.;Grass;;4;OBF;113;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_113_R_EN_LG.png
Crabrawler;Basic;Fighting;90;;;;FC;Knuckle Punch ;30;;FFC;Magnum Punch ;60;;Psychic;;3;OBF;114;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_114_R_EN_LG.png
Crabominable;Stage 1;Fighting;160;Crabrawler;;;FC;Confront ;50;;FFC;Knuckle Impact ;170;During your next turn, this Pokémon can't attack.;Psychic;;4;OBF;115;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_115_R_EN_LG.png
Rockruff;Basic;Fighting;60;;;;F;Bite ;20;;;;;;Grass;;1;OBF;116;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_116_R_EN_LG.png
Lycanroc;Stage 1;Fighting;130;Rockruff;;;F;Finishing Fang ;90;If your opponent's Active Pokémon has no damage counters on it before this attack does damage, this attack does nothing.;FCC;Slashing Claw ;100;;Grass;;2;OBF;117;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_117_R_EN_LG.png
Toedscool;Basic;Fighting;60;;;;F;Smash Kick ;10;;CC;Mud-Slap ;20;;Grass;;1;OBF;118;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_118_R_EN_LG.png
Toedscruel;Stage 1;Fighting;130;Toedscool;;;CC;Beat ;40;;FCC;Double Whip ;100×;Flip 2 coins. This attack does 100 damage for each heads.;Grass;;2;OBF;119;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_119_R_EN_LG.png
Klawf ex;Basic;Fighting;220;;Counterattacking Pincer;If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), discard an Energy from the Attacking Pokémon.;FCC;Falling Press ;100+;Flip a coin. If heads, this attack does 80 more damage.;;;;;Grass;;3;OBF;120;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_120_R_EN_LG.png
Glimmet;Basic;Fighting;60;;;;F;Iron Defense;;Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.;F;Hang Down ;10;;Grass;;1;OBF;121;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_121_R_EN_LG.png
Glimmet;Basic;Fighting;70;;;;FF;Poison Shard ;20;Your opponent's Active Pokémon is now Poisoned.;;;;;Grass;;2;OBF;122;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_122_R_EN_LG.png
Glimmora ex;Stage 1;Fighting;270;Glimmet;Dust Field;As long as this Pokémon is in the Active Spot, your opponent can't have more than 3 Benched Pokémon. If they have 4 or more Benched Pokémon, they discard Benched Pokémon until they have 3 Pokémon on the Bench. If more than one effect changes the number of Benched Pokémon allowed, use the smaller number.;FF;Poisonous Gem ;140;Your opponent's Active Pokémon is now Poisoned.;;;;;Grass;;3;OBF;123;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_123_R_EN_LG.png
Koraidon ex;Basic;Fighting;230;;;;F;Splitting Beam ;20;This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.);FFC;Gaia Press ;230;This Pokémon also does 30 damage to itself.;Psychic;;2;OBF;124;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_124_R_EN_LG.png
Charizard ex;Stage 2;Darkness;330;Charmeleon;Tera;As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s).;RR;Burning Darkness ;180+;This attack does 30 more damage for each Prize card your opponent has taken.;;;;;Grass;;2;OBF;125;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_125_R_EN_LG.png
Paldean Wooper;Basic;Darkness;60;;;;D;Spit Poison;;Your opponent's Active Pokémon is now Poisoned.;;;;;Fighting;;1;OBF;126;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_126_R_EN_LG.png
Paldean Wooper;Basic;Darkness;70;;;;DC;Flop ;30;;;;;;Fighting;;2;OBF;127;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_127_R_EN_LG.png
Paldean Clodsire;Stage 1;Darkness;140;Paldean Wooper;;;D;Poison Ring ;20;Your opponent's Active Pokémon is now Poisoned. During your opponent's next turn, that Pokémon can't retreat.;DCC;Muddy Hammer ;100;Discard the top card of your opponent's deck.;Fighting;;3;OBF;128;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_128_R_EN_LG.png
Paldean Clodsire;Stage 1;Darkness;140;Paldean Wooper;;;D;Splattering Poison;;Both Active Pokémon are now Poisoned.;DCC;Venoshock ;80+;If your opponent's Active Pokémon is Poisoned, this attack does 120 more damage.;Fighting;;3;OBF;129;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_129_R_EN_LG.png
Umbreon;Stage 1;Darkness;110;Eevee;;;D;Feint Attack;;This attack does 50 damage to 1 of your opponent's Pokémon. This attack's damage isn't affected by Weakness or Resistance, or by any effects on that Pokémon.;DCC;Pitch-Black Blade ;140;During your next turn, this Pokémon can't attack.;Grass;;1;OBF;130;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_130_R_EN_LG.png
Houndour;Basic;Darkness;50;;;;D;Coordinated Pack;;For each of your Benched Houndour, search your deck for a Basic [D] Energy card and attach it to that Houndour. Then, shuffle your deck.;DC;Focus Fangs ;30;Flip a coin. If tails, this attack does nothing.;Grass;;1;OBF;131;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_131_R_EN_LG.png
Houndour;Basic;Darkness;70;;;;D;Bite ;10;;DDD;Darkness Fang ;70;;Grass;;1;OBF;132;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_132_R_EN_LG.png
Houndoom;Stage 1;Darkness;130;Houndour;;;DC;Daring Strike ;50+;If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 70 more damage.;DCC;Shadow Slash ;130;Discard an Energy from this Pokémon.;Grass;;2;OBF;133;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_133_R_EN_LG.png
Houndoom ex;Stage 1;Darkness;270;Houndour;;;DD;Evil Claw ;90;If the Defending Pokémon is a Basic Pokémon, it can't attack during your opponent's next turn.;;;;This Pokémon also does 30 damage to itself.;Grass;;2;OBF;134;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_134_R_EN_LG.png
Absol ex;Basic;Darkness;210;;;;D;Future Sight;;Look at the top 3 cards of either player's deck and put them back in any order.;DDC;Cursed Slug ;100+;If your opponent has 3 or fewer cards in their hand, this attack does 120 more damage.;Grass;;1;OBF;135;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_135_R_EN_LG.png
Darkrai;Basic;Darkness;130;;;;D;Dark Slumber ;20;Your opponent's Active Pokémon is now Asleep.;DDC;Night Cyclone ;120;Move all Energy from this Pokémon to your Benched Pokémon in any way you like.;Grass;;2;OBF;136;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_136_R_EN_LG.png
Inkay;Basic;Darkness;60;;;;DC;Hug ;30;During your opponent's next turn, the Defending Pokémon can't retreat.;;;;;Grass;;1;OBF;137;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_137_R_EN_LG.png
Malamar;Stage 1;Darkness;120;Inkay;Psychic Insight;Once during your turn, you may look at the top card of your opponent's deck. If you do, look at the top card of your deck.;DCC;Hypnotic Ray ;90;Your opponent's Active Pokémon is now Asleep.;;;;;Grass;;2;OBF;138;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_138_R_EN_LG.png
Salandit;Basic;Darkness;70;;;;D;Suffocating Gas ;10;;DC;Scratch ;30;;Fighting;;1;OBF;139;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_139_R_EN_LG.png
Salazzle;Stage 1;Darkness;120;Salandit;;;D;Suffocating Gas ;40;;DC;Gentle Slap ;70;;Fighting;;1;OBF;140;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_140_R_EN_LG.png
Scizor;Stage 1;Metal;140;Scyther;;;M;Punishing Scissors ;10+;This attack does 50 more damage for each of your opponent's Pokémon in play that has an Ability.;MM;Cut ;70;;Fire;Grass;2;OBF;141;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_141_R_EN_LG.png
Skarmory;Basic;Metal;120;;;;C;Peck ;20;;MMC;Slashing Steel ;120;During your next turn, this Pokémon can't use Slashing Steel.;Lightning;Fighting;1;OBF;142;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_142_R_EN_LG.png
Mawile;Basic;Metal;90;;Special Eater;When you play this Pokémon from your hand onto your Bench during your turn, you may discard a Special Energy from your opponent's Active Pokémon.;MCC;Sharp Fang ;90;;;;;;Fire;Grass;1;OBF;143;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_143_R_EN_LG.png
Bronzor;Basic;Metal;70;;;;M;Mirror Draw;;Draw cards until you have the same number of cards in your hand as your opponent.;MM;Speed Dive ;30;;Fire;Grass;2;OBF;144;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_144_R_EN_LG.png
Bronzong;Stage 1;Metal;140;Bronzor;;;M;Oracle Press ;20;During your opponent's next turn, prevent all effects of attacks used by your opponent's Pokémon done to this Pokémon. (Damage is not an effect.);MM;Extrasensory ;70+;If you have the same number of cards in your hand as your opponent, this attack does 90 more damage.;Fire;Grass;3;OBF;145;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_145_R_EN_LG.png
Probopass;Stage 1;Metal;150;Nosepass;;;MC;Triple Nose ;40×;Flip 3 coins. This attack does 40 damage for each heads.;MMC;Iron Buster ;160;During your next turn, this Pokémon can't attack.;Fire;Grass;4;OBF;146;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_146_R_EN_LG.png
Excadrill;Stage 1;Metal;120;Drilbur;;;M;Pierce ;60;;;;;;Fire;Grass;2;OBF;147;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_147_R_EN_LG.png
Pawniard;Basic;Metal;70;;;;M;Triple Cutter ;10×;Flip 3 coins. This attack does 10 damage for each heads.;;;;;Fire;Grass;1;OBF;148;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_148_R_EN_LG.png
Bisharp;Stage 1;Metal;110;Pawniard;;;M;Metal Claw ;20;;MC;Fury Cutter ;50+;Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 60 more damage. If all of them are heads, this attack does 120 more damage.;Fire;Grass;2;OBF;149;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_149_R_EN_LG.png
Kingambit;Stage 2;Metal;180;Bisharp;;;M;Strike Down;;If your opponent's Active Pokémon has 4 or more damage counters on it, that Pokémon is Knocked Out.;MCC;Massive Rend ;140;;Fire;Grass;4;OBF;150;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_150_R_EN_LG.png
Togedemaru;Basic;Metal;80;;;;C;Defense Curl;;Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.;MC;Rolling Tackle ;50;;Fire;Grass;1;OBF;151;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_151_R_EN_LG.png
Meltan;Basic;Metal;70;;;;M;Melt ;20;;;;;;Fire;Grass;1;OBF;152;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_152_R_EN_LG.png
Melmetal ex;Stage 1;Metal;300;Meltan;;;M;Metal-bolize;;Search your deck for up to 2 Basic [M] Energy cards and attach them to this Pokémon. Then, shuffle your deck.;CCCC;Full Metal Knuckle ;90+;This attack does 30 more damage for each [M] Energy attached to this Pokémon.;Fire;Grass;4;OBF;153;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_153_R_EN_LG.png
Varoom;Basic;Metal;60;;;;M;Spinning Draw ;10;Draw a card.;;;;;Fire;Grass;1;OBF;154;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_154_R_EN_LG.png
Varoom;Basic;Metal;70;;;;MC;Suffocating Gas ;30;;;;;;Fire;Grass;2;OBF;155;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_155_R_EN_LG.png
Revavroom ex;Stage 1;Metal;280;Varoom;Tune-Up;This Pokémon may have up to 4 Pokémon Tools attached to it. If it loses this Ability, discard Pokémon Tools from it until only 1 remains.;MMC;Wild Drift ;170;During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).;;;;;Fire;Grass;1;OBF;156;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_156_R_EN_LG.png
Dratini;Basic;Dragon;70;;;;C;Tail Snap ;20;;;;;;;;1;OBF;157;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_157_R_EN_LG.png
Dragonair;Stage 1;Dragon;100;Dratini;;;C;Ram ;30;;WL;Dragon Tail ;70×;Flip 2 coins. This attack does 70 damage for each heads.;;;2;OBF;158;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_158_R_EN_LG.png
Dragonite ex;Stage 2;Dragon;330;Dragonair;Tera;As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s).;C;Wing Attack ;70;;WL;Mighty Meteor ;140+;Flip a coin. If heads, this attack does 140 more damage. If tails, during your next turn, this Pokémon can't attack.;;;2;OBF;159;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_159_R_EN_LG.png
Altaria;Stage 1;Dragon;120;Swablu;;;C;Glide ;30;;WM;Soothing Lullaby ;110;Your opponent's Active Pokémon is now Asleep. During Pokémon Checkup, your opponent flips 2 coins instead of 1. If either of them is tails, that Pokémon is still Asleep.;;;1;OBF;160;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_160_R_EN_LG.png
Drampa;Basic;Dragon;120;;;;CC;Outrage ;60+;This attack does 10 more damage for each damage counter on this Pokémon.;;;;;;;2;OBF;161;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_161_R_EN_LG.png
Pidgey;Basic;Colorless;60;;;;C;Gust ;20;;;;;;Lightning;Fighting;1;OBF;162;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_162_R_EN_LG.png
Pidgeotto;Stage 1;Colorless;90;Pidgey;;;CC;Wing Attack ;40;;;;;;Lightning;Fighting;1;OBF;163;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_163_R_EN_LG.png
Pidgeot ex;Stage 2;Colorless;280;Pidgeotto;Quick Search;Once during your turn, you may search your deck for a card and put it into your hand. Then, shuffle your deck. You can't use more than 1 Quick Search Ability each turn.;CC;Blustery Wind ;120;You may discard a Stadium in play.;;;;;Lightning;Fighting;0;OBF;164;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_164_R_EN_LG.png
Kangaskhan;Basic;Colorless;130;;;;C;Headbutt ;30;;CC;Spike Draw ;60;Draw 2 cards.;Fighting;;2;OBF;165;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_165_R_EN_LG.png
Eevee;Basic;Colorless;70;;;;C;Cheer Up;;Attach an Energy card from your hand to 1 of your Pokémon.;CC;Kick ;20;;Fighting;;1;OBF;166;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_166_R_EN_LG.png
Zigzagoon;Basic;Colorless;70;;;;C;Headbutt Bounce ;10;;CC;Claw Slash ;20;;Fighting;;1;OBF;167;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_167_R_EN_LG.png
Linoone;Stage 1;Colorless;110;Zigzagoon;;;C;Jet Headbutt ;40;;CCC;Reckless Charge ;150;This Pokémon also does 30 damage to itself.;Fighting;;0;OBF;168;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_168_R_EN_LG.png
Swablu;Basic;Colorless;50;;;;C;Fluffy Guard;;During your opponent's next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).;CC;Flap ;20;;Lightning;Fighting;1;OBF;169;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_169_R_EN_LG.png
Lillipup;Basic;Colorless;50;;;;C;Rear Kick ;20;;;;;;Fighting;;1;OBF;170;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_170_R_EN_LG.png
Herdier;Stage 1;Colorless;90;Lillipup;;;C;Rear Kick ;30;;CC;Hammer In ;50;;Fighting;;2;OBF;171;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_171_R_EN_LG.png
Stoutland;Stage 2;Colorless;160;Herdier;;;C;Chomp Chomp Panic ;50×;This attack does 50 damage for each [C] in your opponent's Active Pokémon's Retreat Cost.;CCC;Sharp Fang ;140;;Fighting;;3;OBF;172;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_172_R_EN_LG.png
Audino;Basic;Colorless;100;;;;C;Find a Friend;;Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.;CCC;Slap ;80;;Fighting;;1;OBF;173;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_173_R_EN_LG.png
Bouffalant;Basic;Colorless;120;;Bouffer;This Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).;CC;Damage Rush ;50+;Flip a coin until you get tails. This attack does 30 more damage for each heads.;;;;;Fighting;;2;OBF;174;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_174_R_EN_LG.png
Bunnelby;Basic;Colorless;70;;;;C;Stompy Stomp ;10×;Flip 2 coins. This attack does 10 damage for each heads.;;;;;Fighting;;1;OBF;175;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_175_R_EN_LG.png
Yungoos;Basic;Colorless;70;;;;C;Knock Away ;10+;Flip a coin. If heads, this attack does 10 more damage.;;;;;Fighting;;1;OBF;176;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_176_R_EN_LG.png
Gumshoos;Stage 1;Colorless;120;Yungoos;;;C;Headbang ;30;;CC;Crunch ;60;Discard an Energy from your opponent's Active Pokémon.;Fighting;;2;OBF;177;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_177_R_EN_LG.png
Skwovet;Basic;Colorless;60;;;;C;Nicked Nibble;;Discard the top card of your opponent's deck.;C;Gentle Slap ;10;;Fighting;;1;OBF;178;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_178_R_EN_LG.png
Greedent ex;Stage 1;Colorless;260;Skwovet;Tera;As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s).;C;Never Ever Enough;;Look at the top 3 cards of your deck. You may put those cards into your hand. If you don't, discard those cards and draw 3 cards.;;;;During your next turn, this Pokémon can't use Slip 'n' Roll.;Fighting;;2;OBF;179;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_179_R_EN_LG.png
Lechonk;Basic;Colorless;60;;;;C;Tackle ;20;;;;;;Fighting;;1;OBF;180;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_180_R_EN_LG.png
Lechonk;Basic;Colorless;70;;;;CC;Disarming Voice ;20;Your opponent's Active Pokémon is now Confused.;;;;;Fighting;;2;OBF;181;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_181_R_EN_LG.png
Lechonk;Basic;Colorless;70;;;;C;Headbutt Bounce ;10;;CC;Mud Shot ;20;;Fighting;;2;OBF;182;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_182_R_EN_LG.png
Oinkologne;Stage 1;Colorless;120;Lechonk;;;CC;Confounding Cologne ;30;Your opponent's Active Pokémon is now Confused.;CCC;High-Impact Kick ;160;Flip a coin. If tails, this Pokémon also does 60 damage to itself.;Fighting;;2;OBF;183;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_183_R_EN_LG.png
Oinkologne;Stage 1;Colorless;130;Lechonk;;;CC;Finest Selection;;Flip 3 coins. Put a number of cards up to the number of heads from your discard pile into your hand.;CCC;Perfume Press ;70;Your opponent's Active Pokémon is now Confused.;Fighting;;2;OBF;184;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_184_R_EN_LG.png
Flamigo;Basic;Colorless;120;;;;C;Peck ;20;;CC;Synchronized Feathers ;60;If Flamigo is on your Bench, this attack also does 60 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.);Lightning;Fighting;2;OBF;185;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_185_R_EN_LG.png
Arven;Trainer - Supporter;;;;;Search your deck for an Item card and a Pokémon Tool card, reveal them, and put them into your hand. Then, shuffle your deck.;;;;;;;;;;;;OBF;186;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_186_R_EN_LG.png
Brassius;Trainer - Supporter;;;;;Count the cards in your hand, shuffle those cards into your deck, then draw that many cards plus 1.;;;;;;;;;;;;OBF;187;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_187_R_EN_LG.png
Geeta;Trainer - Supporter;;;;;Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck. During this turn, your Pokémon can't attack. (This includes Pokémon that come into play this turn.);;;;;;;;;;;;OBF;188;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_188_R_EN_LG.png
Letter of Encouragement;Trainer - Item;;;;;You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn.Search your deck for up to 3 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.;;;;;;;;;;;;OBF;189;G;Obsidian Flames (OBF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/OBF/OBF_189_R_EN_LG.png
